,speaker_label,speaker_num,start_time,end_time,start_date_time,end_date_time
282,Trump,2,3735.12,3754.75,1970-01-01 01:02:16,1970-01-01 01:02:35
283,Biden,1,3754.76,3757.32,1970-01-01 01:02:35,1970-01-01 01:02:38
284,Trump,2,3757.8,3761.79,1970-01-01 01:02:38,1970-01-01 01:02:42
285,Wallace,0,3761.79,3809.93,1970-01-01 01:02:42,1970-01-01 01:03:30
286,Biden,1,3810.4,3822.75,1970-01-01 01:03:31,1970-01-01 01:03:43
287,Wallace,0,3822.75,3829.81,1970-01-01 01:03:43,1970-01-01 01:03:50
288,Wallace,0,3830.4,3835.71,1970-01-01 01:03:51,1970-01-01 01:03:56
289,Biden,1,3835.71,3839.8,1970-01-01 01:03:56,1970-01-01 01:04:00
290,Trump,2,3839.81,3853.59,1970-01-01 01:04:00,1970-01-01 01:04:14
291,Biden,1,3853.6,3863.17,1970-01-01 01:04:14,1970-01-01 01:04:24
292,Trump,2,3863.17,3863.84,1970-01-01 01:04:24,1970-01-01 01:04:24
293,Biden,1,3863.84,3890.15,1970-01-01 01:04:24,1970-01-01 01:04:51
294,Wallace,0,3890.15,3900.75,1970-01-01 01:04:51,1970-01-01 01:05:01
295,Trump,2,3900.75,3901.72,1970-01-01 01:05:01,1970-01-01 01:05:02
296,Wallace,0,3901.72,3902.56,1970-01-01 01:05:02,1970-01-01 01:05:03
297,Trump,2,3902.57,3905.48,1970-01-01 01:05:03,1970-01-01 01:05:06
298,Wallace,0,3905.48,3908.34,1970-01-01 01:05:06,1970-01-01 01:05:09
299,Trump,2,3908.34,3913.42,1970-01-01 01:05:09,1970-01-01 01:05:14
300,Wallace,0,3913.43,3937.26,1970-01-01 01:05:14,1970-01-01 01:05:38
301,Trump,2,3937.27,3938.07,1970-01-01 01:05:38,1970-01-01 01:05:39
302,Wallace,0,3938.07,3939.73,1970-01-01 01:05:39,1970-01-01 01:05:40
303,Trump,2,3939.73,3944.59,1970-01-01 01:05:40,1970-01-01 01:05:45
304,Wallace,0,3944.6,3946.51,1970-01-01 01:05:45,1970-01-01 01:05:47
305,Trump,2,3946.51,3950.62,1970-01-01 01:05:47,1970-01-01 01:05:51
306,Trump,2,3951.39,3982.45,1970-01-01 01:05:52,1970-01-01 01:06:23
307,Wallace,0,3982.45,3984.88,1970-01-01 01:06:23,1970-01-01 01:06:25
308,Trump,2,3984.89,3995.97,1970-01-01 01:06:25,1970-01-01 01:06:36
309,Wallace,0,3995.98,3999.26,1970-01-01 01:06:36,1970-01-01 01:06:40
310,Trump,2,3999.27,4000.3,1970-01-01 01:06:40,1970-01-01 01:06:41
311,Wallace,0,4000.3,4030.7,1970-01-01 01:06:41,1970-01-01 01:07:11
312,Trump,2,4030.71,4123.0,1970-01-01 01:07:11,1970-01-01 01:08:43
313,Trump,2,4123.87,4138.51,1970-01-01 01:08:44,1970-01-01 01:08:59
314,Trump,2,4139.27,4154.0,1970-01-01 01:09:00,1970-01-01 01:09:14
